SB Non-US Bonds,MSCI EAFE,CRSP VW US common stocks,US Corp Bonds,Money Market
-0.0087,0.022794999,0.085758,0.028587,0.00612
-0.04519318,-0.005607,0.017005,-0.025728,0.00616
0.08103539,0.077895001,-0.001923,0.019214,0.00621
0.006743549,-0.003114,-0.002187,0.022055,0.0065
0.028152606,0.042801,0.055891,0.061659,0.00593
0.023132848,0.025999,0.017192,0.007869,0.00568
0.072628275,0.051970001,-0.000569,-0.004108,0.00536
0.002753161,0.032426,-0.004738,0.023521,0.0057
0.069240667,0.058835998,-0.039705,0.0006,0.00571
0.014604397,0.068343997,0.044598,0.024107,0.00571
0.04863967,0.041351002,0.069282,0.025473,0.00579
0.018251752,0.047657002,0.043278,0.03237,0.00532
0.022887193,0.025358999,0.009831,0.007373,0.00479
0.083852284,0.111080997,0.072853,0.046693,0.00548
0.040085513,0.140899003,0.053894,0.024009,0.00561
0.064748198,0.065747999,-0.008098,0.005385,0.00508
-0.05339044,-0.044234,0.050833,-0.011061,0.00479
0.06264738,0.068438999,0.0143,0.018625,0.00499
0.037603453,0.061903,-0.059689,0.00449,0.00478
0.019247442,0.098811999,0.066417,0.020293,0.00458
-0.022626741,-0.010031,-0.07915,-0.002904,0.00417
-0.03115752,-0.066577002,0.049437,0.01666,0.00416
0.024793388,0.057865001,0.015182,0.014297,0.00417
0.036407199,0.053247001,-0.026553,0.00896,0.00404
0.049281083,0.106430002,0.128399,0.021566,0.00416
0.022462249,0.030183,0.047629,0.005982,0.00454
0.057392128,0.082189001,0.02325,-0.004008,0.00437
0.038769323,0.105985001,-0.017128,-0.033453,0.00423
-0.01406765,0.000179,0.005229,-0.004611,0.00396
-0.02431448,-0.031676002,0.043847,0.014396,0.00438
-0.034520488,-0.001571,0.044066,-0.002704,0.00402
0.033178773,0.075188003,0.037241,-0.005616,0.00455
-0.035853188,-0.01556,-0.02074,-0.028605,0.0046
0.092991985,-0.139933005,-0.22489,0.032854,0.00526
0.061089292,0.010076,-0.072942,0.010643,0.00329
0.068854801,0.02994,0.070888,0.018724,0.00288
-0.036840782,0.018081,0.045328,0.038451,0.00302
0.007320771,0.066914,0.051625,0.013607,0.0043
0.041885268,0.061675999,-0.017089,-0.008637,0.00421
-0.00305431,0.014717,0.010968,-0.007125,0.00466
-0.01304131,-0.031833,0.000948,-0.005415,0.00467
-0.054532479,-0.026153,0.051388,0.023619,0.00476
-0.00536847,0.031580001,-0.007194,-0.002303,0.00529
-0.02190204,-0.064823002,-0.027934,0.004191,0.00516
0.029370181,0.043894,0.037295,0.02137,0.00581
0.070444375,0.085796997,0.017654,0.017349,0.00572
0.036339555,0.059776999,-0.016409,-0.009646,0.00545
-0.02036822,0.005753,0.021021,0.002696,0.00552
-0.03640588,0.0178,0.065954,0.014692,0.00535
0.008123201,0.005334,-0.016365,-0.005616,0.00634
-0.03046835,-0.019435,0.021545,0.002896,0.00607
0.008570686,0.009472,0.048549,0.020097,0.00703
-0.060257509,-0.054233,0.03954,0.026934,0.00687
0.006530873,-0.016612001,-0.004933,0.02917,0.00689
0.068923272,0.125784993,0.077126,0.019214,0.00663
-0.04843365,-0.044787999,0.021968,-0.010859,0.00631
0.032832224,0.045735002,-0.001597,0.004589,0.00627
-0.00833585,-0.039999999,-0.029383,0.022739,0.00624
0.008754355,0.050503425,0.017877,0.006876,0.00619
0.02292647,0.037114453,0.018288,0.001099,0.00571
-0.01207158,-0.037015188,-0.070089,-0.012579,0.00508
-0.030590439,-0.069576316,0.015008,0.002896,0.00616
-0.020846181,-0.103966646,0.024166,0.0009,0.0062
0.002700634,-0.007653686,-0.028155,-0.010454,0.00643
0.039367959,0.114395015,0.088885,0.031789,0.00606
0.020860326,-0.008582028,-0.004297,0.016955,0.00592
0.049244829,0.01435273,-0.009395,0.011237,0.00615
-0.0009677,-0.096845232,-0.09175,-0.016028,0.00602
0.011785123,-0.139051452,-0.053878,0.004589,0.00604
0.071682155,0.156128302,-0.012432,0.00449,0.00567
0.012171517,-0.05867222,0.065992,0.020391,0.00545
0.004486448,0.016590761,0.029551,0.014002,0.00538
0.038586859,0.032575998,0.049059,0.01262,0.00443
-0.00296097,0.107536882,0.075683,0.016955,0.00477
-0.075304933,-0.059824277,0.028791,0.012225,0.00464
0.018887402,0.010119048,0.003319,0.012916,0.00478
-0.00585387,0.010724808,0.040607,0.006876,0.00441
-0.02004303,-0.073227614,-0.044249,-0.0001,0.00438
0.030275017,0.0494464,0.046832,0.014297,0.00422
0.016636757,-0.020081526,0.026917,0.022348,0.0045
0.056668997,0.056646481,-0.011067,0.020391,0.00432
0.012876731,0.014415562,0.017706,0.009455,0.00407
0.020718802,-0.046398811,-0.037289,0.009752,0.0039
0.068603359,0.051948052,0.107069,0.032177,0.00332
-0.01953063,-0.021050235,-0.001707,-0.012579,0.00305
-0.01481124,-0.035508804,0.013282,0.009554,0.00305
-0.01483824,-0.06573873,-0.023705,-0.004309,0.00315
0.007083981,0.00496614,0.013829,0.004988,0.00328
0.043947011,0.067257091,0.006483,0.022055,0.00287
0.040491182,-0.047083583,-0.019259,0.01548,0.00298
0.021818072,-0.025304474,0.039922,0.02635,0.00288
0.044244379,0.063061625,-0.020744,0.00777,0.00253
0.006437707,-0.019429501,0.012441,0.012027,0.00249
-0.0360967,-0.052150905,0.010907,-0.01796,0.00221
-0.02569649,0.009717167,0.04017,0.001599,0.00228
-0.00207033,0.005475034,0.017477,0.018331,0.0022
