date,exchus,exdnus,exhkus,exsius,exszus,exeuus
20070101,,,,,,
20070102,7.8051,5.6119,7.7797,1.5316,1.2125,0.7527
20070103,7.8051,5.6589,7.7867,1.5340,1.2263,0.7594
20070104,7.8090,5.6913,7.7885,1.5383,1.2314,0.7637
20070105,7.8047,5.7302,7.7908,1.5377,1.2366,0.7689
20070108,7.8127,5.7207,7.7946,1.5362,1.2357,0.7679
20070109,7.8055,5.7359,7.7974,1.5361,1.2417,0.7695
20070110,7.8075,5.7581,7.7983,1.5382,1.2459,0.7728
20070111,7.7945,5.7756,7.7977,1.5426,1.2482,0.7750
20070112,7.7984,5.7663,7.7992,1.5428,1.2485,0.7736
20070115,,,,,,
20070116,7.7900,5.7683,7.8005,1.5393,1.2480,0.7741
20070117,7.7752,5.7557,7.8039,1.5373,1.2456,0.7723
20070118,7.7705,5.7576,7.8100,1.5380,1.2496,0.7727
20070119,7.7752,5.7484,7.8072,1.5375,1.2479,0.7711
20070122,7.7759,5.7526,7.7973,1.5377,1.2484,0.7718
20070123,7.7756,5.7229,7.7998,1.5343,1.2404,0.7678
20070124,7.7705,5.7493,7.8035,1.5353,1.2481,0.7714
20070125,7.7705,5.7410,7.8063,1.5347,1.2439,0.7704
20070126,7.7748,5.7743,7.8091,1.5385,1.2534,0.7747
20070129,7.7730,5.7553,7.8112,1.5392,1.2528,0.7723
20070130,7.7750,5.7531,7.8100,1.5375,1.2530,0.7720
20070131,7.7714,5.7365,7.8078,1.5362,1.2470,0.7693
20070201,7.7575,5.7245,7.8041,1.5342,1.2427,0.7680
20070202,7.7555,5.7515,7.8068,1.5358,1.2476,0.7716
20070205,7.7602,5.7633,7.8086,1.5337,1.2481,0.7732
20070206,7.7565,5.7468,7.8090,1.5330,1.2414,0.7711
20070207,7.7474,5.7232,7.8130,1.5315,1.2398,0.7680
20070208,7.7484,5.7178,7.8141,1.5322,1.2471,0.7672
20070209,7.7476,5.7307,7.8131,1.5335,1.2484,0.7689
20070212,7.7570,5.7485,7.8136,1.5409,1.2532,0.7715
20070213,7.7632,5.7227,7.8141,1.5424,1.2489,0.7678
20070214,7.7565,5.6780,7.8133,1.5368,1.2399,0.7618
20070215,7.7545,5.6710,7.8087,1.5349,1.2362,0.7610
20070216,7.7426,5.6745,7.8124,1.5315,1.2341,0.7612
20070219,,,,,,
20070220,7.7466,5.6749,7.8141,1.5342,1.2369,0.7614
20070221,7.7426,5.6781,7.8127,1.5332,1.2393,0.7618
20070222,7.7436,5.6762,7.8112,1.5335,1.2383,0.7614
20070223,7.7416,5.6611,7.8087,1.5306,1.2332,0.7596
20070226,7.7500,5.6638,7.8127,1.5275,1.2327,0.7599
20070227,7.7416,5.6262,7.8136,1.5258,1.2205,0.7549
20070228,7.7410,5.6308,7.8119,1.5281,1.2189,0.7559
20070301,7.7435,5.6552,7.8119,1.5267,1.2226,0.7591
20070302,7.7445,5.6485,7.8146,1.5265,1.2173,0.7586
20070305,7.7415,5.6874,7.8149,1.5312,1.2218,0.7637
20070306,7.7453,5.6803,7.8151,1.5286,1.2241,0.7629
20070307,7.7430,5.6645,7.8177,1.5260,1.2208,0.7606
20070308,7.7400,5.6716,7.8129,1.5277,1.2287,0.7617
20070309,7.7445,5.6783,7.8141,1.5260,1.2332,0.7623
20070312,7.7454,5.6483,7.8143,1.5268,1.2250,0.7584
20070313,7.7410,5.6440,7.8154,1.5288,1.2218,0.7576
20070314,7.7370,5.6329,7.8148,1.5338,1.2139,0.7560
20070315,7.7430,5.6219,7.8116,1.5326,1.2142,0.7548
20070316,7.7280,5.5960,7.8108,1.5254,1.2079,0.7515
20070319,7.7355,5.6001,7.8124,1.5251,1.2125,0.7519
20070320,7.7320,5.6032,7.8124,1.5259,1.2137,0.7524
20070321,7.7350,5.5986,7.8107,1.5230,1.2151,0.7516
20070322,7.7286,5.5752,7.8093,1.5176,1.2115,0.7486
20070323,7.7290,5.5996,7.8105,1.5177,1.2169,0.7518
20070326,7.7396,5.5862,7.8130,1.5151,1.2144,0.7499
20070327,7.7334,5.5756,7.8130,1.5156,1.2130,0.7487
20070328,7.7318,5.5874,7.8139,1.5174,1.2147,0.7501
20070329,7.7280,5.5849,7.8127,1.5174,1.2166,0.7499
20070330,7.7232,5.5709,7.8137,1.5173,1.2126,0.7477
20070402,7.7296,5.5692,7.8155,1.5208,1.2139,0.7477
20070403,7.7267,5.5749,7.8153,1.5184,1.2192,0.7483
20070404,7.7345,5.5757,7.8166,1.5145,1.2194,0.7483
20070405,7.7250,5.5518,7.8162,1.5127,1.2145,0.7448
